id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,0,0_0,M.USER.APP.0,652,653,1,150,None,46.768539325842696,1139.0381156969017,1185.8066550227445,847.0,1139.0381156969017
1,COMP_M,0,0_1,0_(0-1),653,654,150,150,0_0,54.12247191011236,1185.8066550227445,1239.929126932857,1185.8066550227445,1185.8066550227445
1,COMP_M,0,0_2,0_(0-2),653,655,150,150,0_0,31.78988764044944,1185.8066550227445,1217.596542663194,1185.8066550227445,1185.8066550227445
1,COMP_M,0,0_4,0_(0-4),653,656,150,150,0_0,48.785393258426964,1185.8066550227445,1234.5920482811714,1185.8066550227445,1185.8066550227445
1,COMP_M,0,0_8,0_(1-8),654,657,150,150,0_1,40.96179775280899,1239.929126932857,1280.8909246856658,1239.929126932857,1239.929126932857
1,COMP_M,0,0_3,0_(1-3),654,658,150,150,0_1,22.65730337078652,1239.929126932857,1262.5864303036435,1239.929126932857,1239.929126932857
1,COMP_M,0,0_5,0_(1-5),654,659,150,150,0_1,28.60112359550562,1239.929126932857,1268.5302505283626,1239.929126932857,1239.929126932857
1,COMP_M,0,0_6,0_(1-6),654,660,150,150,0_1,44.480898876404495,1239.929126932857,1284.4100258092615,1239.929126932857,1239.929126932857
1,COMP_M,0,0_7,0_(1-7),654,661,150,150,0_1,46.61573033707865,1239.929126932857,1286.5448572699356,1239.929126932857,1239.929126932857
2,COMP_M,0,0_0,M.USER.APP.0,652,653,1,150,None,46.768539325842696,1316.0619806740447,1362.8305199998874,897.0,1316.0619806740447
2,COMP_M,0,0_1,0_(0-1),653,654,150,150,0_0,54.12247191011236,1362.8305199998874,1416.9529919099998,1362.8305199998874,1362.8305199998874
2,COMP_M,0,0_2,0_(0-2),653,655,150,150,0_0,31.78988764044944,1362.8305199998874,1394.620407640337,1362.8305199998874,1362.8305199998874
2,COMP_M,0,0_4,0_(0-4),653,656,150,150,0_0,48.785393258426964,1362.8305199998874,1411.6159132583143,1362.8305199998874,1362.8305199998874
2,COMP_M,0,0_8,0_(1-8),654,657,150,150,0_1,40.96179775280899,1416.9529919099998,1457.9147896628087,1416.9529919099998,1416.9529919099998
2,COMP_M,0,0_3,0_(1-3),654,658,150,150,0_1,22.65730337078652,1416.9529919099998,1439.6102952807864,1416.9529919099998,1416.9529919099998
2,COMP_M,0,0_5,0_(1-5),654,659,150,150,0_1,28.60112359550562,1416.9529919099998,1445.5541155055055,1416.9529919099998,1416.9529919099998
2,COMP_M,0,0_6,0_(1-6),654,660,150,150,0_1,44.480898876404495,1416.9529919099998,1461.4338907864044,1416.9529919099998,1416.9529919099998
2,COMP_M,0,0_7,0_(1-7),654,661,150,150,0_1,46.61573033707865,1416.9529919099998,1463.5687222470785,1416.9529919099998,1416.9529919099998
3,COMP_M,0,0_0,M.USER.APP.0,652,653,1,150,None,46.768539325842696,1493.0858456511876,1539.8543849770303,952.0,1493.0858456511876
3,COMP_M,0,0_1,0_(0-1),653,654,150,150,0_0,54.12247191011236,1539.8543849770303,1593.9768568871427,1539.8543849770303,1539.8543849770303
3,COMP_M,0,0_2,0_(0-2),653,655,150,150,0_0,31.78988764044944,1539.8543849770303,1571.6442726174798,1539.8543849770303,1539.8543849770303
3,COMP_M,0,0_4,0_(0-4),653,656,150,150,0_0,48.785393258426964,1539.8543849770303,1588.6397782354572,1539.8543849770303,1539.8543849770303
3,COMP_M,0,0_8,0_(1-8),654,657,150,150,0_1,40.96179775280899,1593.9768568871427,1634.9386546399517,1593.9768568871427,1593.9768568871427
3,COMP_M,0,0_3,0_(1-3),654,658,150,150,0_1,22.65730337078652,1593.9768568871427,1616.6341602579294,1593.9768568871427,1593.9768568871427
3,COMP_M,0,0_5,0_(1-5),654,659,150,150,0_1,28.60112359550562,1593.9768568871427,1622.5779804826484,1593.9768568871427,1593.9768568871427
3,COMP_M,0,0_6,0_(1-6),654,660,150,150,0_1,44.480898876404495,1593.9768568871427,1638.4577557635473,1593.9768568871427,1593.9768568871427
3,COMP_M,0,0_7,0_(1-7),654,661,150,150,0_1,46.61573033707865,1593.9768568871427,1640.5925872242215,1593.9768568871427,1593.9768568871427
4,COMP_M,0,0_0,M.USER.APP.0,652,653,1,150,None,46.768539325842696,1670.1097106283305,1716.8782499541733,988.0,1670.1097106283305
4,COMP_M,0,0_1,0_(0-1),653,654,150,150,0_0,54.12247191011236,1716.8782499541733,1771.0007218642857,1716.8782499541733,1716.8782499541733
4,COMP_M,0,0_2,0_(0-2),653,655,150,150,0_0,31.78988764044944,1716.8782499541733,1748.6681375946227,1716.8782499541733,1716.8782499541733
4,COMP_M,0,0_4,0_(0-4),653,656,150,150,0_0,48.785393258426964,1716.8782499541733,1765.6636432126002,1716.8782499541733,1716.8782499541733
4,COMP_M,0,0_8,0_(1-8),654,657,150,150,0_1,40.96179775280899,1771.0007218642857,1811.9625196170946,1771.0007218642857,1771.0007218642857
4,COMP_M,0,0_3,0_(1-3),654,658,150,150,0_1,22.65730337078652,1771.0007218642857,1793.6580252350723,1771.0007218642857,1771.0007218642857
4,COMP_M,0,0_5,0_(1-5),654,659,150,150,0_1,28.60112359550562,1771.0007218642857,1799.6018454597913,1771.0007218642857,1771.0007218642857
4,COMP_M,0,0_6,0_(1-6),654,660,150,150,0_1,44.480898876404495,1771.0007218642857,1815.4816207406902,1771.0007218642857,1771.0007218642857
4,COMP_M,0,0_7,0_(1-7),654,661,150,150,0_1,46.61573033707865,1771.0007218642857,1817.6164522013644,1771.0007218642857,1771.0007218642857
5,COMP_M,0,0_0,M.USER.APP.0,652,653,1,150,None,46.768539325842696,1847.1335756054734,1893.9021149313162,1260.0,1847.1335756054734
5,COMP_M,0,0_1,0_(0-1),653,654,150,150,0_0,54.12247191011236,1893.9021149313162,1948.0245868414286,1893.9021149313162,1893.9021149313162
5,COMP_M,0,0_2,0_(0-2),653,655,150,150,0_0,31.78988764044944,1893.9021149313162,1925.6920025717657,1893.9021149313162,1893.9021149313162
5,COMP_M,0,0_4,0_(0-4),653,656,150,150,0_0,48.785393258426964,1893.9021149313162,1942.687508189743,1893.9021149313162,1893.9021149313162
5,COMP_M,0,0_8,0_(1-8),654,657,150,150,0_1,40.96179775280899,1948.0245868414286,1988.9863845942375,1948.0245868414286,1948.0245868414286
5,COMP_M,0,0_3,0_(1-3),654,658,150,150,0_1,22.65730337078652,1948.0245868414286,1970.6818902122152,1948.0245868414286,1948.0245868414286
5,COMP_M,0,0_5,0_(1-5),654,659,150,150,0_1,28.60112359550562,1948.0245868414286,1976.6257104369342,1948.0245868414286,1948.0245868414286
5,COMP_M,0,0_6,0_(1-6),654,660,150,150,0_1,44.480898876404495,1948.0245868414286,1992.5054857178332,1948.0245868414286,1948.0245868414286
5,COMP_M,0,0_7,0_(1-7),654,661,150,150,0_1,46.61573033707865,1948.0245868414286,1994.6403171785073,1948.0245868414286,1948.0245868414286
6,COMP_M,1,1_9,M.USER.APP.1,651,662,2,150,None,39.73258426966292,2024.1508352626163,2063.8834195322793,1332.0,2024.1508352626163
6,COMP_M,1,1_10,1_(9-10),662,663,150,150,1_9,37.742696629213484,2063.8834195322793,2101.626116161493,2063.8834195322793,2063.8834195322793
6,COMP_M,1,1_11,1_(9-11),662,664,150,150,1_9,34.331460674157306,2063.8834195322793,2098.2148802064366,2063.8834195322793,2063.8834195322793
6,COMP_M,1,1_12,1_(9-12),662,665,150,150,1_9,29.42808988764045,2063.8834195322793,2093.3115094199197,2063.8834195322793,2063.8834195322793
6,COMP_M,1,1_13,1_(9-13),662,666,150,150,1_9,47.801123595505615,2063.8834195322793,2111.6845431277848,2063.8834195322793,2063.8834195322793
6,COMP_M,1,1_15,1_(9-15),662,667,150,150,1_9,67.10337078651685,2063.8834195322793,2130.986790318796,2063.8834195322793,2063.8834195322793
6,COMP_M,1,1_18,1_(9-18),662,668,150,150,1_9,36.82808988764045,2063.8834195322793,2100.71150941992,2063.8834195322793,2063.8834195322793
6,COMP_M,1,1_16,1_(12-16),665,669,150,150,1_12,23.562921348314607,2093.3115094199197,2116.8744307682346,2093.3115094199197,2093.3115094199197
6,COMP_M,1,1_14,1_(12-14),665,670,150,150,1_12,52.33370786516854,2093.3115094199197,2145.645217285088,2093.3115094199197,2093.3115094199197
6,COMP_M,1,1_17,1_(13-17),666,671,150,150,1_13,56.70337078651686,2111.6845431277848,2168.3879139143014,2111.6845431277848,2111.6845431277848
7,COMP_M,0,0_0,M.USER.APP.0,652,653,1,150,None,46.768539325842696,2201.174700239759,2247.9432395656017,1563.0,2201.174700239759
7,COMP_M,0,0_1,0_(0-1),653,654,150,150,0_0,54.12247191011236,2247.9432395656017,2302.065711475714,2247.9432395656017,2247.9432395656017
7,COMP_M,0,0_2,0_(0-2),653,655,150,150,0_0,31.78988764044944,2247.9432395656017,2279.733127206051,2247.9432395656017,2247.9432395656017
7,COMP_M,0,0_4,0_(0-4),653,656,150,150,0_0,48.785393258426964,2247.9432395656017,2296.728632824029,2247.9432395656017,2247.9432395656017
7,COMP_M,0,0_8,0_(1-8),654,657,150,150,0_1,40.96179775280899,2302.065711475714,2343.0275092285233,2302.065711475714,2302.065711475714
7,COMP_M,0,0_3,0_(1-3),654,658,150,150,0_1,22.65730337078652,2302.065711475714,2324.7230148465005,2302.065711475714,2302.065711475714
7,COMP_M,0,0_5,0_(1-5),654,659,150,150,0_1,28.60112359550562,2302.065711475714,2330.66683507122,2302.065711475714,2302.065711475714
7,COMP_M,0,0_6,0_(1-6),654,660,150,150,0_1,44.480898876404495,2302.065711475714,2346.5466103521185,2302.065711475714,2302.065711475714
7,COMP_M,0,0_7,0_(1-7),654,661,150,150,0_1,46.61573033707865,2302.065711475714,2348.681441812793,2302.065711475714,2302.065711475714
8,COMP_M,1,1_9,M.USER.APP.1,651,662,2,150,None,39.73258426966292,2378.191959896902,2417.924544166565,1866.0,2378.191959896902
8,COMP_M,1,1_10,1_(9-10),662,663,150,150,1_9,37.742696629213484,2417.924544166565,2455.6672407957785,2417.924544166565,2417.924544166565
8,COMP_M,1,1_11,1_(9-11),662,664,150,150,1_9,34.331460674157306,2417.924544166565,2452.256004840722,2417.924544166565,2417.924544166565
8,COMP_M,1,1_12,1_(9-12),662,665,150,150,1_9,29.42808988764045,2417.924544166565,2447.3526340542053,2417.924544166565,2417.924544166565
8,COMP_M,1,1_13,1_(9-13),662,666,150,150,1_9,47.801123595505615,2417.924544166565,2465.7256677620703,2417.924544166565,2417.924544166565
8,COMP_M,1,1_15,1_(9-15),662,667,150,150,1_9,67.10337078651685,2417.924544166565,2485.0279149530816,2417.924544166565,2417.924544166565
8,COMP_M,1,1_18,1_(9-18),662,668,150,150,1_9,36.82808988764045,2417.924544166565,2454.7526340542054,2417.924544166565,2417.924544166565
8,COMP_M,1,1_16,1_(12-16),665,669,150,150,1_12,23.562921348314607,2447.3526340542053,2470.91555540252,2447.3526340542053,2447.3526340542053
8,COMP_M,1,1_14,1_(12-14),665,670,150,150,1_12,52.33370786516854,2447.3526340542053,2499.6863419193737,2447.3526340542053,2447.3526340542053
8,COMP_M,1,1_17,1_(13-17),666,671,150,150,1_13,56.70337078651686,2465.7256677620703,2522.429038548587,2465.7256677620703,2465.7256677620703
9,COMP_M,0,0_0,M.USER.APP.0,652,653,1,150,None,46.768539325842696,2555.2158248740448,2601.9843641998873,2155.0,2555.2158248740448
9,COMP_M,0,0_1,0_(0-1),653,654,150,150,0_0,54.12247191011236,2601.9843641998873,2656.1068361099997,2601.9843641998873,2601.9843641998873
9,COMP_M,0,0_2,0_(0-2),653,655,150,150,0_0,31.78988764044944,2601.9843641998873,2633.7742518403365,2601.9843641998873,2601.9843641998873
9,COMP_M,0,0_4,0_(0-4),653,656,150,150,0_0,48.785393258426964,2601.9843641998873,2650.7697574583144,2601.9843641998873,2601.9843641998873
9,COMP_M,0,0_8,0_(1-8),654,657,150,150,0_1,40.96179775280899,2656.1068361099997,2697.068633862809,2656.1068361099997,2656.1068361099997
9,COMP_M,0,0_3,0_(1-3),654,658,150,150,0_1,22.65730337078652,2656.1068361099997,2678.764139480786,2656.1068361099997,2656.1068361099997
9,COMP_M,0,0_5,0_(1-5),654,659,150,150,0_1,28.60112359550562,2656.1068361099997,2684.7079597055053,2656.1068361099997,2656.1068361099997
9,COMP_M,0,0_6,0_(1-6),654,660,150,150,0_1,44.480898876404495,2656.1068361099997,2700.587734986404,2656.1068361099997,2656.1068361099997
9,COMP_M,0,0_7,0_(1-7),654,661,150,150,0_1,46.61573033707865,2656.1068361099997,2702.7225664470784,2656.1068361099997,2656.1068361099997
10,COMP_M,0,0_0,M.USER.APP.0,652,653,1,150,None,46.768539325842696,2732.2396898511874,2779.00822917703,2303.0,2732.2396898511874
10,COMP_M,0,0_1,0_(0-1),653,654,150,150,0_0,54.12247191011236,2779.00822917703,2833.1307010871424,2779.00822917703,2779.00822917703
10,COMP_M,0,0_2,0_(0-2),653,655,150,150,0_0,31.78988764044944,2779.00822917703,2810.7981168174792,2779.00822917703,2779.00822917703
10,COMP_M,0,0_4,0_(0-4),653,656,150,150,0_0,48.785393258426964,2779.00822917703,2827.793622435457,2779.00822917703,2779.00822917703
10,COMP_M,0,0_8,0_(1-8),654,657,150,150,0_1,40.96179775280899,2833.1307010871424,2874.0924988399515,2833.1307010871424,2833.1307010871424
10,COMP_M,0,0_3,0_(1-3),654,658,150,150,0_1,22.65730337078652,2833.1307010871424,2855.7880044579288,2833.1307010871424,2833.1307010871424
10,COMP_M,0,0_5,0_(1-5),654,659,150,150,0_1,28.60112359550562,2833.1307010871424,2861.731824682648,2833.1307010871424,2833.1307010871424
10,COMP_M,0,0_6,0_(1-6),654,660,150,150,0_1,44.480898876404495,2833.1307010871424,2877.6115999635467,2833.1307010871424,2833.1307010871424
10,COMP_M,0,0_7,0_(1-7),654,661,150,150,0_1,46.61573033707865,2833.1307010871424,2879.746431424221,2833.1307010871424,2833.1307010871424
