id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
3,COMP_M,2,2_01,M.USER.APP.2,2,6,3,0,None,0.3,103.00000000031457,103.30000000031457,100.0,103.00000000031457
4,COMP_M,3,3_01,M.USER.APP.3,3,7,4,0,None,0.3,103.00000000035584,103.30000000035584,100.0,103.00000000035584
2,COMP_M,1,1_01,M.USER.APP.1,1,5,2,0,None,0.3,105.00000000028945,105.30000000028944,100.0,105.00000000028945
1,COMP_M,0,0_01,M.USER.APP.0,0,4,1,0,None,0.3,110.0000000005789,110.30000000057889,100.0,110.0000000005789
7,COMP_M,2,2_01,M.USER.APP.2,2,6,3,0,None,0.3,203.00000000031457,203.30000000031458,200.0,203.00000000031457
8,COMP_M,3,3_01,M.USER.APP.3,3,7,4,0,None,0.3,203.00000000035584,203.30000000035585,200.0,203.00000000035584
6,COMP_M,1,1_01,M.USER.APP.1,1,5,2,0,None,0.3,205.00000000028945,205.30000000028946,200.0,205.00000000028945
5,COMP_M,0,0_01,M.USER.APP.0,0,4,1,0,None,0.3,210.0000000005789,210.3000000005789,200.0,210.0000000005789
11,COMP_M,2,2_01,M.USER.APP.2,2,6,3,0,None,0.3,303.00000000031457,303.3000000003146,300.0,303.00000000031457
12,COMP_M,3,3_01,M.USER.APP.3,3,7,4,0,None,0.3,303.00000000035584,303.30000000035585,300.0,303.00000000035584
10,COMP_M,1,1_01,M.USER.APP.1,1,5,2,0,None,0.3,305.00000000028945,305.30000000028946,300.0,305.00000000028945
9,COMP_M,0,0_01,M.USER.APP.0,0,4,1,0,None,0.3,310.0000000005789,310.3000000005789,300.0,310.0000000005789
15,COMP_M,2,2_01,M.USER.APP.2,2,6,3,0,None,0.3,403.00000000031457,403.3000000003146,400.0,403.00000000031457
16,COMP_M,3,3_01,M.USER.APP.3,3,7,4,0,None,0.3,403.00000000035584,403.30000000035585,400.0,403.00000000035584
14,COMP_M,1,1_01,M.USER.APP.1,1,5,2,0,None,0.3,405.00000000028945,405.30000000028946,400.0,405.00000000028945
13,COMP_M,0,0_01,M.USER.APP.0,0,4,1,0,None,0.3,410.0000000005789,410.3000000005789,400.0,410.0000000005789
19,COMP_M,2,2_01,M.USER.APP.2,2,6,3,0,None,0.3,503.00000000031457,503.3000000003146,500.0,503.00000000031457
20,COMP_M,3,3_01,M.USER.APP.3,3,7,4,0,None,0.3,503.00000000035584,503.30000000035585,500.0,503.00000000035584
