id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,1,2,0,4.000000000381869,M.USER.APP.0,100,20,0
2,LINK,2,0,1,5.000000000289452,M.USER.APP.1,100,20,1
3,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,100,20,2
4,LINK,4,0,3,3.000000000355834,M.USER.APP.3,100,20,3
1,LINK,2,0,0,5.000000000289452,M.USER.APP.0,104.00000000038187,20,1
5,LINK,1,2,0,4.000000000381869,M.USER.APP.0,200,20,0
6,LINK,2,0,1,5.000000000289452,M.USER.APP.1,200,20,1
7,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,200,20,2
8,LINK,4,0,3,3.000000000355834,M.USER.APP.3,200,20,3
5,LINK,2,0,0,5.000000000289452,M.USER.APP.0,204.00000000038187,20,1
9,LINK,1,2,0,4.000000000381869,M.USER.APP.0,300,20,0
10,LINK,2,0,1,5.000000000289452,M.USER.APP.1,300,20,1
11,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,300,20,2
12,LINK,4,0,3,3.000000000355834,M.USER.APP.3,300,20,3
9,LINK,2,0,0,5.000000000289452,M.USER.APP.0,304.0000000003819,20,1
13,LINK,1,2,0,4.000000000381869,M.USER.APP.0,400,20,0
14,LINK,2,0,1,5.000000000289452,M.USER.APP.1,400,20,1
15,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,400,20,2
16,LINK,4,0,3,3.000000000355834,M.USER.APP.3,400,20,3
13,LINK,2,0,0,5.000000000289452,M.USER.APP.0,404.0000000003819,20,1
17,LINK,1,2,0,4.000000000381869,M.USER.APP.0,500,20,0
18,LINK,2,0,1,5.000000000289452,M.USER.APP.1,500,20,1
19,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,500,20,2
20,LINK,4,0,3,3.000000000355834,M.USER.APP.3,500,20,3
17,LINK,2,0,0,5.000000000289452,M.USER.APP.0,504.0000000003819,20,1
21,LINK,1,2,0,4.000000000381869,M.USER.APP.0,600,20,0
22,LINK,2,0,1,5.000000000289452,M.USER.APP.1,600,20,1
23,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,600,20,2
24,LINK,4,0,3,3.000000000355834,M.USER.APP.3,600,20,3
21,LINK,2,0,0,5.000000000289452,M.USER.APP.0,604.0000000003819,20,1
25,LINK,1,2,0,4.000000000381869,M.USER.APP.0,700,20,0
26,LINK,2,0,1,5.000000000289452,M.USER.APP.1,700,20,1
27,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,700,20,2
28,LINK,4,0,3,3.000000000355834,M.USER.APP.3,700,20,3
25,LINK,2,0,0,5.000000000289452,M.USER.APP.0,704.0000000003819,20,1
29,LINK,1,2,0,4.000000000381869,M.USER.APP.0,800,20,0
30,LINK,2,0,1,5.000000000289452,M.USER.APP.1,800,20,1
31,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,800,20,2
32,LINK,4,0,3,3.000000000355834,M.USER.APP.3,800,20,3
29,LINK,2,0,0,5.000000000289452,M.USER.APP.0,804.0000000003819,20,1
33,LINK,1,2,0,4.000000000381869,M.USER.APP.0,900,20,0
34,LINK,2,0,1,5.000000000289452,M.USER.APP.1,900,20,1
35,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,900,20,2
36,LINK,4,0,3,3.000000000355834,M.USER.APP.3,900,20,3
33,LINK,2,0,0,5.000000000289452,M.USER.APP.0,904.0000000003819,20,1
37,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1000,20,0
38,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1000,20,1
39,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1000,20,2
40,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1000,20,3
37,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1004.0000000003819,20,1
41,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1100,20,0
42,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1100,20,1
43,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1100,20,2
44,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1100,20,3
41,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1104.0000000003818,20,1
45,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1200,20,0
46,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1200,20,1
47,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1200,20,2
48,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1200,20,3
45,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1204.0000000003818,20,1
49,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1300,20,0
50,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1300,20,1
51,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1300,20,2
52,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1300,20,3
49,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1304.0000000003818,20,1
53,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1400,20,0
54,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1400,20,1
55,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1400,20,2
56,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1400,20,3
53,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1404.0000000003818,20,1
57,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1500,20,0
58,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1500,20,1
59,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1500,20,2
60,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1500,20,3
57,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1504.0000000003818,20,1
61,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1600,20,0
62,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1600,20,1
63,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1600,20,2
64,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1600,20,3
61,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1604.0000000003818,20,1
65,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1700,20,0
66,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1700,20,1
67,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1700,20,2
68,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1700,20,3
65,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1704.0000000003818,20,1
69,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1800,20,0
70,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1800,20,1
71,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1800,20,2
72,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1800,20,3
69,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1804.0000000003818,20,1
73,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1900,20,0
74,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1900,20,1
75,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1900,20,2
76,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1900,20,3
73,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1904.0000000003818,20,1
77,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2000,20,0
78,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2000,20,1
79,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2000,20,2
80,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2000,20,3
77,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2004.0000000003818,20,1
81,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2100,20,0
82,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2100,20,1
83,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2100,20,2
84,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2100,20,3
81,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2104.000000000382,20,1
85,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2200,20,0
86,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2200,20,1
87,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2200,20,2
88,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2200,20,3
85,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2204.000000000382,20,1
89,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2300,20,0
90,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2300,20,1
91,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2300,20,2
92,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2300,20,3
89,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2304.000000000382,20,1
93,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2400,20,0
94,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2400,20,1
95,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2400,20,2
96,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2400,20,3
93,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2404.000000000382,20,1
97,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2500,20,0
98,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2500,20,1
99,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2500,20,2
100,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2500,20,3
97,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2504.000000000382,20,1
101,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2600,20,0
102,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2600,20,1
103,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2600,20,2
104,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2600,20,3
101,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2604.000000000382,20,1
105,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2700,20,0
106,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2700,20,1
107,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2700,20,2
108,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2700,20,3
105,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2704.000000000382,20,1
109,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2800,20,0
110,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2800,20,1
111,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2800,20,2
112,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2800,20,3
109,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2804.000000000382,20,1
113,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2900,20,0
114,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2900,20,1
115,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2900,20,2
116,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2900,20,3
113,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2904.000000000382,20,1
117,LINK,1,2,0,4.000000000381869,M.USER.APP.0,3000,20,0
118,LINK,2,0,1,5.000000000289452,M.USER.APP.1,3000,20,1
119,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,3000,20,2
120,LINK,4,0,3,3.000000000355834,M.USER.APP.3,3000,20,3
117,LINK,2,0,0,5.000000000289452,M.USER.APP.0,3004.000000000382,20,1
121,LINK,1,2,0,4.000000000381869,M.USER.APP.0,3100,20,0
122,LINK,2,0,1,5.000000000289452,M.USER.APP.1,3100,20,1
123,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,3100,20,2
124,LINK,4,0,3,3.000000000355834,M.USER.APP.3,3100,20,3
121,LINK,2,0,0,5.000000000289452,M.USER.APP.0,3104.000000000382,20,1
125,LINK,1,2,0,4.000000000381869,M.USER.APP.0,3200,20,0
126,LINK,2,0,1,5.000000000289452,M.USER.APP.1,3200,20,1
127,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,3200,20,2
128,LINK,4,0,3,3.000000000355834,M.USER.APP.3,3200,20,3
125,LINK,2,0,0,5.000000000289452,M.USER.APP.0,3204.000000000382,20,1
